DOI,Title,Matched Columns,Matched keywards
10.1109/EDGE55608.2022.00020,A Functional and Performance Benchmark of Lightweight Virtualization Platforms for Edge Computing,Abstract,raspberry pi
10.1109/EDGE55608.2022.00024,EdgeFaaSBench: Benchmarking Edge Devices Using Serverless Computing,"Abstract, Abstract","energy-efficient, raspberry pi"
10.1109/EDGE55608.2022.00032,Memory Efficient Binary Convolutional Neural Networks on Microcontrollers,"Abstract, Abstract, Abstract, Author Keywords","binary neural networks, microcontrollers , bnn, binary neural networks"
10.1109/EDGE55608.2022.00034,A Novel Heterogeneous Computing Middleware for Mobile AI Services,"Abstract, Abstract","inference time, energy consumption"
10.1109/EDGE55608.2022.00035,Querying Distributed Sensor Streams in the Edge-to-Cloud Continuum,Abstract,predictive maintenance
10.1109/EDGE53862.2021.00012,Edge Computing Based Data Center Monitoring,"Abstract, Abstract","low-power , energy consumption"
10.1109/EDGE53862.2021.00018,Data Sharing-Aware Task Allocation in Edge Computing Systems,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/EDGE50951.2020.00008,Vehicle Speed Aware Computing Task Offloading and Resource Allocation Based on Multi-Agent Reinforcement Learning in a Vehicular Edge Computing Network,IEEE Terms,energy consumption
10.1109/EDGE50951.2020.00013,A Service Continuity Management Method for MEC-Assisted C-V2X Applications,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/EDGE50951.2020.00015,Astraea: Deploy AI Services at the Edge in Elegant Ways,Abstract,energy consumption
10.1109/EDGE50951.2020.00019,Joint Optimization of Task Offloading and Resource Allocation via Deep Reinforcement Learning for Augmented Reality in Mobile Edge Network,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/ISCAS45731.2020.9180389,A Sub-μW 3–10MHz Stacked Oscillator with a Duty-Cycle Calibrated Level Shifter,"Abstract, Abstract","low-power , energy-efficient"
10.1109/ISCAS45731.2020.9180394,On Fully Differential Incremental ΔΣ ADC with Initial Feedback Zeroing and 1.5-Bit Feedback,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180396,A 336fsrms 0.89mW 200MS/s 5MHz Bandwidth 2–2 MASH ΔΣ Time-to-Digital Converter with Differential Time-Mode Arithmetic Units,IEEE Terms,quantization
10.1109/ISCAS45731.2020.9180398,A 27GHz-to-33GHz Variable-Gain Amplifier with Precise 0.5dB Step Size in 40nm-CMOS for 5G and Ka-Band Satellite Applications,Abstract,low-power 
10.1109/ISCAS45731.2020.9180405,Weight Isolation-Based Binarized Neural Networks Accelerator,"Abstract, Author Keywords","bnn, binary neural networks"
10.1109/ISCAS45731.2020.9180422,Exploiting Self-Capacitances for Wireless Power Transfer,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180426,CMOS Integrated Impedance to Frequency Converter for Biomedical Applications,Abstract,low-power 
10.1109/ISCAS45731.2020.9180433,A Resource-Optimized Patient-Specific Nonlinear-SVM Hypertension Detection Algorithm for Minimally-Invasive High Blood Pressure Control,"Abstract, Abstract","low-power , energy consumption"
10.1109/ISCAS45731.2020.9180434,A 1/3-Inch 1.12μm-Pitch 13Mpixel CMOS Image Sensor with a Low-Power Readout Architecture,"Document Title, Abstract, Author Keywords","low-power , low-power , low-power "
10.1109/ISCAS45731.2020.9180435,A Low-Power 65/14nm Stacked CMOS Image Sensor,"Document Title, Abstract, Author Keywords","low-power , low-power , low-power "
10.1109/ISCAS45731.2020.9180438,High-Speed Trace Detection DROIC for 15μm-Pitch Cryogenic Infrared FPAs,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180442,A Mixed-Signal Spatio-Temporal Signal Classifier for On-Sensor Spike Sorting,Abstract,low-power 
10.1109/ISCAS45731.2020.9180443,Memory Organization for Energy-Efficient Learning and Inference in Digital Neuromorphic Accelerators,"Document Title, Abstract, IEEE Terms","energy-efficient, energy-efficient, quantization"
10.1109/ISCAS45731.2020.9180449,Exploiting Single-Well Design for Energy-Efficient Ultra-Wide Voltage Range Dual Mode Logic-Based Digital Circuits in 28nm FD-SOI Technology,"Document Title, Abstract, Abstract, Author Keywords, IEEE Terms","energy-efficient, energy-efficient, energy consumption, energy-efficient, energy consumption"
10.1109/ISCAS45731.2020.9180454,Reinforced Bit Allocation under Task-Driven Semantic Distortion Metrics,Abstract,quantization
10.1109/ISCAS45731.2020.9180455,Learning Based Estimation of Video Coding Distortion,"Abstract, Author Keywords, IEEE Terms","quantization, quantization, quantization"
10.1109/ISCAS45731.2020.9180494,"Online Estimation of State-of-Charge, State-of-Health and Temperature of Supercapacitor",Abstract,smart meters
10.1109/ISCAS45731.2020.9180498,Design of Energy-Efficient Electrocorticography Recording System for Intractable Epilepsy in Implantable Environments,"Document Title, Abstract","energy-efficient, low-power "
10.1109/ISCAS45731.2020.9180502,Low-Power Fixed-Point Compressed Sensing Decoder with Support Oracle,Document Title,low-power 
10.1109/ISCAS45731.2020.9180506,HyNNA: Improved Performance for Neuromorphic Vision Sensor Based Surveillance using Hybrid Neural Network Architecture,Abstract,low-power 
